手机型号,价格,评价条数,店铺名
Redmi Note 11 5G 天玑810 33W Pro快充 5000mAh大电池 6GB +128GB 神秘黑境 智能 小米 红米,￥1099.00,100万+条评价条评价,小米京东自营旗舰店
荣耀Play6T Pro 天玑810 40W超级快充 6nm疾速芯 4800万超清双摄 全网通 5G手机 8GB+256GB 钛空银,￥1399.00,10万+条评价,荣耀京东自营旗舰店
小米13 徕卡光学镜头 第二代骁龙8处理器 超窄边屏幕 120Hz高刷,￥4599.00,2万+条评价,小米京东自营旗舰店
荣耀X40 120Hz OLED硬核曲屏 5100mAh 快充大电池 7.9mm轻薄设计 5G手机 8GB+128GB 彩云追月,￥1699.00,20万+条评价,荣耀京东自营旗舰店
OPPO K10x 极光 8GB+128GB 67W超级闪充 5000mAh长续航 120Hz高帧屏 6400万三摄 高通骁龙695 拍照 5G,￥1499.00,5万+条评价,OPPO京东自营官方旗舰店
荣耀X30 骁龙6nm疾速5G芯 66W超级快充 120Hz全视屏 全网通版 8GB+128GB 钛空银,￥1399.00,50万+条评价,荣耀京东自营旗舰店
小米13Pro徕卡光学镜头 120W秒充 2K曲面屏,￥5799.00,2万+条评价,小米京东自营旗舰店
vivo iQOO U5x 8GB+128GB极昼蓝 骁龙680 5000mAh大电池 6.51英寸大屏幕 智慧三摄 全网通智能,￥1099.00,10万+条评价,iQOO京东官方自营旗舰店
OPPO A55s 8GB+128GB 轻快蓝 双模5G 超大存储 5000mAh超大电池 长续航 后置AI三摄 超清画质 拍照,￥1099.00,10万+条评价,OPPO京东自营官方旗舰店
realme真我Q5 6nm骁龙5G芯 60W智慧闪充 5000mAh超大电池 8GB+256GB 冰河斩浪 5G智能,￥1399.00,2万+条评价,真我realme京东自营旗舰店
荣耀70 IMX800三主摄 双曲屏设计 高通骁龙778G Plus 66W快充 5G手机 8GB+256GB 墨玉青,￥2299.00,20万+条评价,荣耀京东自营旗舰店
Redmi 12C Helio G85 性能芯 5000万高清双摄 5000mAh长续航 4GB+64GB 暗影黑 智能 小米红米,￥699.00,1000+条评价条评价,小米京东自营旗舰店
Redmi K60 骁龙8+处理器 2K高光屏 6400万超清相机 5500mAh长续航 8GB+256GB 墨羽 小米红米5G【套装版】,￥2748.00,2000+条评价,小米京东自营旗舰店
荣耀X40 GT 骁龙888旗舰芯 144Hz高刷电竞屏 66W超级快充 5G手机 12GB+256GB 幻夜黑,￥2399.00,5万+条评价,荣耀京东自营旗舰店
OPPO K9x 8GB+128GB 银紫超梦 天玑810 5000mAh长续航 33W快充 90Hz电竞屏 6400万三摄 拍照5Goppok9x,￥1299.00,去看二手,50万+条评价
Redmi Note12 5G 120Hz OLED屏幕 骁龙4移动平台 5000mAh长续航 6GB+128GB子夜黑 智能 小米红米,￥1299.00,5万+条评价,小米京东自营旗舰店
